"Marriages and Divorces by marzes, years and indicators"

"marzes";"years";"Marriages acts, total";"Marriages, rate, per 1000 population"
"Yerevan city";"1996";4795.0;4.3
"Yerevan city";"1997";4528.0;4.1
"Yerevan city";"1998";4078.0;3.7
"Yerevan city";"1999";4610.0;4.2
"Yerevan city";"2000";4032.0;3.6
"Yerevan city";"2001";4530.0;4.1
"Yerevan city";"2002*";4894.0;4.5
"Yerevan city";"2003*";5341.0;4.9
"Yerevan city";"2004*";5961.0;5.5
"Yerevan city";"2005*";5965.0;5.5
"Yerevan city";"2006*";6026.0;5.6
"Yerevan city";"2007*";6578.0;6.1
"Yerevan city";"2008*";6737.0;6.3
"Yerevan city";"2009*";6831.0;6.4
"Yerevan city";"2010*";6669.0;6.3
"Yerevan city";"2011*";7117.0;6.7
"Yerevan city";"2012";7118.0;6.7
"Yerevan city";"2013";7007.0;6.6
"Yerevan city";"2014";6886.0;6.4
"Yerevan city";"2015";6909.0;6.4
"Yerevan city";"2016";6528.0;6.1
"Yerevan city";"2017";6204.0;5.8
"Yerevan city";"2018";6208.0;5.8
"Aragatsotn Marz";"1996";779.0;5.6
"Aragatsotn Marz";"1997";536.0;3.9
"Aragatsotn Marz";"1998";547.0;3.9
"Aragatsotn Marz";"1999";568.0;4.1
"Aragatsotn Marz";"2000";481.0;3.5
"Aragatsotn Marz";"2001";494.0;3.6
"Aragatsotn Marz";"2002*";552.0;4.0
"Aragatsotn Marz";"2003*";643.0;4.7
"Aragatsotn Marz";"2004*";691.0;5.1
"Aragatsotn Marz";"2005*";669.0;4.9
"Aragatsotn Marz";"2006*";643.0;4.7
"Aragatsotn Marz";"2007*";807.0;6.0
"Aragatsotn Marz";"2008*";816.0;6.1
"Aragatsotn Marz";"2009*";884.0;6.6
"Aragatsotn Marz";"2010*";737.0;5.5
"Aragatsotn Marz";"2011*";821.0;6.2
"Aragatsotn Marz";"2012";875.0;6.6
"Aragatsotn Marz";"2013";811.0;6.1
"Aragatsotn Marz";"2014";887.0;6.7
"Aragatsotn Marz";"2015";758.0;5.8
"Aragatsotn Marz";"2016";705.0;5.5
"Aragatsotn Marz";"2017";652.0;5.1
"Aragatsotn Marz";"2018";594.0;4.7
"Ararat  Marz";"1996";1093.0;4.1
"Ararat  Marz";"1997";831.0;3.1
"Ararat  Marz";"1998";728.0;4.3
"Ararat  Marz";"1999";882.0;3.3
"Ararat  Marz";"2000";692.0;2.6
"Ararat  Marz";"2001";783.0;2.9
"Ararat  Marz";"2002*";970.0;3.6
"Ararat  Marz";"2003*";1069.0;4.0
"Ararat  Marz";"2004*";1150.0;4.3
"Ararat  Marz";"2005*";1173.0;4.4
"Ararat  Marz";"2006*";1268.0;4.8
"Ararat  Marz";"2007*";1401.0;5.3
"Ararat  Marz";"2008*";1480.0;5.6
"Ararat  Marz";"2009*";1399.0;5.3
"Ararat  Marz";"2010*";1498.0;5.7
"Ararat  Marz";"2011*";1747.0;6.7
"Ararat  Marz";"2012";1697.0;6.5
"Ararat  Marz";"2013";1610.0;6.2
"Ararat  Marz";"2014";1680.0;6.5
"Ararat  Marz";"2015";1418.0;5.5
"Ararat  Marz";"2016";1319.0;5.1
"Ararat  Marz";"2017";1286.0;5.0
"Ararat  Marz";"2018";1171.0;4.6
"Armavir  Marz";"1996";1244.0;4.5
"Armavir  Marz";"1997";1045.0;3.8
"Armavir  Marz";"1998";919.0;3.3
"Armavir  Marz";"1999";1019.0;3.7
"Armavir  Marz";"2000";954.0;3.4
"Armavir  Marz";"2001";1055.0;3.8
"Armavir  Marz";"2002*";1199.0;4.4
"Armavir  Marz";"2003*";1336.0;4.9
"Armavir  Marz";"2004*";1587.0;5.8
"Armavir  Marz";"2005*";1562.0;5.7
"Armavir  Marz";"2006*";1604.0;5.9
"Armavir  Marz";"2007*";1750.0;6.5
"Armavir  Marz";"2008*";1766.0;6.6
"Armavir  Marz";"2009*";1769.0;6.6
"Armavir  Marz";"2010*";1744.0;6.5
"Armavir  Marz";"2011*";1850.0;6.9
"Armavir  Marz";"2012";1725.0;6.5
"Armavir  Marz";"2013";1680.0;6.3
"Armavir  Marz";"2014";1640.0;6.1
"Armavir  Marz";"2015";1560.0;5.9
"Armavir  Marz";"2016";1430.0;5.4
"Armavir  Marz";"2017";1417.0;5.3
"Armavir  Marz";"2018";1289.0;4.9
"Gegharkunik  Marz";"1996";1016.0;4.3
"Gegharkunik  Marz";"1997";1025.0;4.3
"Gegharkunik  Marz";"1998";865.0;3.6
"Gegharkunik  Marz";"1999";967.0;4.0
"Gegharkunik  Marz";"2000";883.0;3.7
"Gegharkunik  Marz";"2001";1004.0;4.2
"Gegharkunik  Marz";"2002*";1255.0;5.3
"Gegharkunik  Marz";"2003*";1515.0;6.4
"Gegharkunik  Marz";"2004*";1661.0;7.0
"Gegharkunik  Marz";"2005*";1491.0;6.3
"Gegharkunik  Marz";"2006*";1442.0;6.1
"Gegharkunik  Marz";"2007*";1556.0;6.6
"Gegharkunik  Marz";"2008*";1398.0;5.9
"Gegharkunik  Marz";"2009*";1522.0;6.4
"Gegharkunik  Marz";"2010*";1270.0;5.4
"Gegharkunik  Marz";"2011*";1414.0;6.0
"Gegharkunik  Marz";"2012";1356.0;5.8
"Gegharkunik  Marz";"2013";1207.0;5.1
"Gegharkunik  Marz";"2014";1218.0;5.2
"Gegharkunik  Marz";"2015";1135.0;4.9
"Gegharkunik  Marz";"2016";1070.0;4.6
"Gegharkunik  Marz";"2017";968.0;4.2
"Gegharkunik  Marz";"2018";984.0;4.3
"Lori  Marz";"1996";1163.0;3.8
"Lori  Marz";"1997";1048.0;3.5
"Lori  Marz";"1998";932.0;3.2
"Lori  Marz";"1999";967.0;3.3
"Lori  Marz";"2000";864.0;3.0
"Lori  Marz";"2001";1041.0;3.6
"Lori  Marz";"2002*";1196.0;4.2
"Lori  Marz";"2003*";1449.0;5.2
"Lori  Marz";"2004*";1306.0;4.8
"Lori  Marz";"2005*";1424.0;5.3
"Lori  Marz";"2006*";1420.0;5.4
"Lori  Marz";"2007*";1380.0;5.3
"Lori  Marz";"2008*";1419.0;5.6
"Lori  Marz";"2009*";1423.0;5.7
"Lori  Marz";"2010*";1398.0;5.8
"Lori  Marz";"2011*";1434.0;6.0
"Lori  Marz";"2012";1321.0;5.6
"Lori  Marz";"2013";1318.0;5.7
"Lori  Marz";"2014";1608.0;7.0
"Lori  Marz";"2015";1270.0;5.6
"Lori  Marz";"2016";1106.0;5.0
"Lori  Marz";"2017";1017.0;4.6
"Lori  Marz";"2018";960.0;4.4
"Kotayk  Marz";"1996";1077.0;3.8
"Kotayk  Marz";"1997";1015.0;3.6
"Kotayk  Marz";"1998";860.0;3.1
