Country Code,Country Name,Survey Year,Survey Name,Indicator,By Variable,Characteristic Category,Characteristic Label,Value,CI High,CI Low,CI High,CI Low,CI High,CI Low,CI High,CI Low,CI High,CI Low
AF,Afghanistan,2015,2015 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,59.6,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,6.7,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,5,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,28.1,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked for cash only,,Total,Total,66.8,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,66.8,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked for cash and in-kind payment,,Total,Total,23.9,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,23.9,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked for in-kind payment only,,Total,Total,4.7,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,4.7,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked unpaid,,Total,Total,4.5,,,,,,,,,,
AF,Afghanistan,2015,2015 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,4.5,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,56.8,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked for cash and in-kind payment,,Total 15-49,Total 15-49,3.5,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked for in-kind payment only,,Total,Total,,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked for in-kind payment only,,Total 15-49,Total 15-49,7.3,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked unpaid,,Total,Total,,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married women who worked unpaid,,Total 15-49,Total 15-49,32.4,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked for cash only,,Total,Total,73.9,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked for cash only,,Total 15-49,Total 15-49,73.9,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked for cash and in-kind payment,,Total,Total,4,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked for cash and in-kind payment,,Total 15-49,Total 15-49,4,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked for in-kind payment only,,Total,Total,4.3,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked for in-kind payment only,,Total 15-49,Total 15-49,4.3,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked unpaid,,Total,Total,17.7,,,,,,,,,,
AL,Albania,2008,2008-09 DHS,Married men who worked unpaid,,Total 15-49,Total 15-49,17.7,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked for cash only,,Total,Total,,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked for cash only,,Total 15-49,Total 15-49,81.7,,,,,,,,,,
AL,Albania,2017,2017-18 DHS,Married women who worked for cash and in-kind payment,,Total,Total,,,,,,,,,,,
