Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","3","Albania","5419","Yield","406","Garlic","2018","2018","hg/ha","151337","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","406","Garlic","2018","2018","tonnes","13696","","Official data"
"QC","Crops","4","Algeria","5419","Yield","406","Garlic","2018","2018","hg/ha","156203","Fc","Calculated data"
"QC","Crops","4","Algeria","5510","Production","406","Garlic","2018","2018","tonnes","202201","","Official data"
"QC","Crops","9","Argentina","5419","Yield","406","Garlic","2018","2018","hg/ha","95916","Fc","Calculated data"
"QC","Crops","9","Argentina","5510","Production","406","Garlic","2018","2018","tonnes","148156","Im","FAO data based on imputation methodology"
"QC","Crops","1","Armenia","5419","Yield","406","Garlic","2018","2018","hg/ha","106497","Fc","Calculated data"
"QC","Crops","1","Armenia","5510","Production","406","Garlic","2018","2018","tonnes","10490","","Official data"
"QC","Crops","11","Austria","5419","Yield","406","Garlic","2018","2018","hg/ha","53538","Fc","Calculated data"
"QC","Crops","11","Austria","5510","Production","406","Garlic","2018","2018","tonnes","1119","","Official data"
"QC","Crops","52","Azerbaijan","5419","Yield","406","Garlic","2018","2018","hg/ha","97300","Fc","Calculated data"
"QC","Crops","52","Azerbaijan","5510","Production","406","Garlic","2018","2018","tonnes","44914","","Official data"
"QC","Crops","16","Bangladesh","5419","Yield","406","Garlic","2018","2018","hg/ha","64689","Fc","Calculated data"
"QC","Crops","16","Bangladesh","5510","Production","406","Garlic","2018","2018","tonnes","461970","","Official data"
"QC","Crops","57","Belarus","5419","Yield","406","Garlic","2018","2018","hg/ha","110201","Fc","Calculated data"
"QC","Crops","57","Belarus","5510","Production","406","Garlic","2018","2018","tonnes","18106","","Official data"
"QC","Crops","18","Bhutan","5419","Yield","406","Garlic","2018","2018","hg/ha","11205","Fc","Calculated data"
"QC","Crops","18","Bhutan","5510","Production","406","Garlic","2018","2018","tonnes","797","Im","FAO data based on imputation methodology"
"QC","Crops","19","Bolivia (Plurinational State of)","5419","Yield","406","Garlic","2018","2018","hg/ha","35689","Fc","Calculated data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","406","Garlic","2018","2018","tonnes","2569","","Official data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","406","Garlic","2018","2018","hg/ha","34007","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5510","Production","406","Garlic","2018","2018","tonnes","5890","","Official data"
"QC","Crops","21","Brazil","5419","Yield","406","Garlic","2018","2018","hg/ha","112567","Fc","Calculated data"
"QC","Crops","21","Brazil","5510","Production","406","Garlic","2018","2018","tonnes","118837","","Official data"
"QC","Crops","27","Bulgaria","5419","Yield","406","Garlic","2018","2018","hg/ha","143548","Fc","Calculated data"
"QC","Crops","27","Bulgaria","5510","Production","406","Garlic","2018","2018","tonnes","445","","Official data"
"QC","Crops","35","Cabo Verde","5419","Yield","406","Garlic","2018","2018","hg/ha","50225","Fc","Calculated data"
"QC","Crops","35","Cabo Verde","5510","Production","406","Garlic","2018","2018","tonnes","105","Im","FAO data based on imputation methodology"
"QC","Crops","33","Canada","5419","Yield","406","Garlic","2018","2018","hg/ha","24071","Fc","Calculated data"
"QC","Crops","33","Canada","5510","Production","406","Garlic","2018","2018","tonnes","1490","","Official data"
"QC","Crops","40","Chile","5419","Yield","406","Garlic","2018","2018","hg/ha","126040","Fc","Calculated data"
"QC","Crops","40","Chile","5510","Production","406","Garlic","2018","2018","tonnes","19111","Im","FAO data based on imputation methodology"
"QC","Crops","351","China","5419","Yield","406","Garlic","2018","2018","hg/ha","281578","Fc","Calculated data"
"QC","Crops","351","China","5510","Production","406","Garlic","2018","2018","tonnes","22333877","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","41","China, mainland","5419","Yield","406","Garlic","2018","2018","hg/ha","282682","Fc","Calculated data"
"QC","Crops","41","China, mainland","5510","Production","406","Garlic","2018","2018","tonnes","22273802","Im","FAO data based on imputation methodology"
"QC","Crops","214","China, Taiwan Province of","5419","Yield","406","Garlic","2018","2018","hg/ha","115020","Fc","Calculated data"
"QC","Crops","214","China, Taiwan Province of","5510","Production","406","Garlic","2018","2018","tonnes","60075","","Official data"
"QC","Crops","44","Colombia","5419","Yield","406","Garlic","2018","2018","hg/ha","147895","Fc","Calculated data"
