"name","obesityRate","pop2020"
"Nauru",61,"10.8240"
"Cook Islands","55.9000","17.5640"
"Palau","55.3000","18.0940"
"Marshall Islands","52.9000","59.1900"
"Tuvalu","51.6000","11.7920"
"Niue",50,"1.6260"
"Tonga","48.2000","105.6950"
"Samoa","47.3000","198.4140"
"Kiribati",46,"119.4490"
"Micronesia","45.8000","115.0230"
"Kuwait","37.9000","4270.5710"
"United States","36.2000","331002.6510"
"Jordan","35.5000","10203.1340"
"Saudi Arabia","35.4000","34813.8710"
"Qatar","35.1000","2881.0530"
"Lebanon","33.7000","6825.4450"
"Libya","32.5000","6871.2920"
"Turkey","32.1000","84339.0670"
"Egypt",32,"102334.4040"
"United Arab Emirates","31.7000","9890.4020"
"Bahamas","31.6000","393.2440"
"New Zealand","30.8000","4822.2330"
"Iraq","30.4000","40222.4930"
"Fiji","30.2000","896.4450"
"Bahrain","29.8000","1701.5750"
"Canada","29.4000","37742.1540"
"Australia",29,"25499.8840"
"Mexico","28.9000","128932.7530"
"Malta","28.9000","441.5430"
"South Africa","28.3000","59308.6900"
"Argentina","28.3000","45195.7740"
"Chile",28,"19116.2010"
"Uruguay","27.9000","3473.7300"
"Dominica","27.9000","71.9860"
"United Kingdom","27.8000","67886.0110"
"Dominican Republic","27.6000","10847.9100"
"Algeria","27.4000","43851.0440"
"Oman",27,"5106.6260"
"Tunisia","26.9000","11818.6190"
"Suriname","26.4000","586.6320"
"Hungary","26.4000","9660.3510"
"Lithuania","26.3000","2722.2890"
"Morocco","26.1000","36910.5600"
"Israel","26.1000","8655.5350"
"Czech Republic",26,"10708.9810"
"Iran","25.8000","83992.9490"
"Costa Rica","25.7000","5094.1180"
"Venezuela","25.6000","28435.9400"
"Andorra","25.6000","77.2650"
"Ireland","25.3000","4937.7860"
"Bulgaria",25,"6948.4450"
"Greece","24.9000","10423.0540"
"Jamaica","24.7000","2961.1670"
"El Salvador","24.6000","6486.2050"
"Cuba","24.6000","11326.6160"
"Belarus","24.5000","9449.3230"
"Croatia","24.4000","4105.2670"
"Belize","24.1000","397.6280"
"Ukraine","24.1000","43733.7620"
"Saint Vincent and the Grenadines","24.1000","110.9400"
"Spain","23.8000","46754.7780"
"Nicaragua","23.7000","6624.5540"
"Latvia","23.6000","1886.1980"
"Montenegro","23.3000","628.0660"
"Russia","23.1000","145934.4620"
"Poland","23.1000","37846.6110"
"Norway","23.1000","5421.2410"
"Barbados","23.1000","287.3750"
"Saint Kitts and Nevis","22.9000","53.1990"
"Panama","22.7000","4314.7670"
"Haiti","22.7000","11402.5280"
"Luxembourg","22.6000","625.9780"
"Solomon Islands","22.5000","686.8840"
"Romania","22.5000","19237.6910"
"Germany","22.3000","83783.9420"
"Colombia","22.3000","50882.8910"
"Finland","22.2000","5540.7200"
"Brazil","22.1000","212559.4170"
"Belgium","22.1000","11589.6230"
"Iceland","21.9000","341.2430"
"Cyprus","21.8000","1207.3590"
"Albania","21.7000","2877.7970"
"Georgia","21.7000","3989.1670"
